# URL -> service code map for the slicer dispatcher.
#
# Use this to find which body spec a given REST endpoint maps to.
# Service codes prefixed with `#` map to specs at  specs/body/{code}.spec
# (e.g.  specs/body/#CA1030.spec ).  ANI codes have no prefix.
#
# Categories:
#   CA   card service
#   US   customer / user service
#   AC   account service
#   ANI  ANI-prefixed standalone service

# url                                                section  cat   service_code
/card/online-card-inquiry                            3.1      CA    #CA1015
/card/activate-card                                  3.2      CA    #CA1014
/card/card-secure-info-inquiry                       3.3      CA    #CA1002
/card/online-unbill-transaction-inquiry              3.4      CA    #CA1032
/card/online-billed-transaction-inquiry              3.5      CA    #CA1030
/card/online-statement-list-inquiry                  3.6      CA    #CA1031
/card/cash-available-inquiry                         3.7      CA    #CA1010
/card/cash-scheme-inquiry                            3.8      CA    #CA1016
/card/cash-transaction-add                           3.9      CA    #CA1017
/card/card-validate                                  3.10     CA    #CA1001
/card/payment-online-add                             3.11     ANI   ANI4000
/card/ipp-eligible-transaction-by-program-get        3.12     CA    #CA1312
/card/ipp-eligible-program-get                       3.13     CA    #CA1313
/epp/convert-instalment                              3.14     CA    #CA1019
/card/usage-setting-get                              3.15     CA    #CA1020
/card/usage-setting-set                              3.16     CA    #CA1021
/card/noti-setting-get                               3.17     CA    #CA1023
/card/noti-setting-set                               3.18     CA    #CA1022
/card/card-block-code-set                            3.19     CA    #CA1007
/card/card-pin-set                                   3.20     ANI   ANI6000
/customer/customer-address-get                       3.21     US    #US0010
/customer/customer-address-set                       3.22     US    #US1007
/card/temp-limit-set                                 3.23     AC    #AC0042
/card/ipp-eligible-program-get-details               3.24     CA    #CA1324
/customer/memo-get                                   4.1      US    #US1008
/customer/customer-search                            4.2      US    #US1003
/customer/customer-get                               4.3      US    #US1004
/account/account-get                                 4.4      AC    #AC1008
/card/card-get                                       4.5      CA    #CA1044
/card/statement-history-inquiry                      4.6      CA    #CA1033
/card/cs-billed-transaction-inquiry                  4.7      CA    #CA1034
/card/cs-unbilled-transaction-inquiry                4.8      CA    #CA1035
/card/cs-loan-inquiry                                4.9      CA    #CA1038
/card/cs-payment-inquiry                             4.10     CA    #CA1036
/card/cs-payment-history-inquiry                     4.11     CA    #CA1037
/card/cs-activate-card                               4.12     CA    #CA1045
/card/early-settlement                               4.13     CA    #CA1024
/card/early-settlement-inquiry                       4.14     CA    #CA1025
/card/cancel-early-settlement                        4.15     CA    #CA1026
/customer/cs-customer-set                            4.16     US    #US1002
/customer/customer-block-code-set                    4.17     US    #US1010
/account/account-block-code-set                      4.18     AC    #AC1009
/customer/cycle-cut-set                              4.19     US    #US1011
/card/supplement-card-credit-control-set             4.20     CA    #CA0042
/customer/suppression-set                            4.21     US    #US1012
/card/waive-transaction                              4.22     CA    #CA1041
/card/card-issue                                     4.23     CA    #CA1011
/card/trasaction-inquiry                             4.24     CA    #CA1028
/card/cs-pending-transaction-inquiry                 4.25     CA    #CA1029
/customer/memo-add                                   4.26     US    #US1016
/account/billing-channel-set                         4.27     AC    #AC1027
/customer/ivr-info-get                               4.28     US    #US1018
/card/fee-charge                                     4.29     CA    #CA1042
/card/interest-adjustment                            4.30     CA    #CA1043
/customer/close-account-amt-cal                      4.31     US    #US1019
/card/statement-history-details                      4.32     CA    #CA1046
/card/perm-limit-set                                 5.1      CA    #CA1027
/customer/referral-search                            5.2      US    #US1017
/customer/existing-inquiry                           5.3      US    #US1013
/customer/block-roll                                 5.4      US    #US1020
